Name,Stand,Description,Address,Website
Atlas Foods Pvt Ltd - PK,Hall: Za'abeel Hall 6 Stand: Z6-E51,"Atlas Foods (Pvt) Ltd is an ISO 22000:2018 certified organization which emerged as highly professional food group and entered in the market with vision to serve high quality product based on swift services and vowed commitment. Atlas Foods is completely processing units where state of art machinery, professional management, team of dedicated foods scientists and engineers remain engaged in injecting fullest efforts to justify the quality, price and service which our esteemed customers demands. Our this project is extended on 15 acres of the land and located in very heart of Punjab (Gujranwala), the area well renowned for the production of excellent quality basmati rice.","Atlas Foods ,17 KM, G.T.Road Chianwali ,Kamoke ,Pakistan ",https://www.atlasfoods.org
Atyab Al Karam Int. Co. Ltd.,Hall: Za'abeel Hall 3 Stand: Z3-D11,"Atyab Al-Karam international company Ltd. is a Saudi food industrial company that owns two factories under its umbrella: Roast Maestro coffee factory and Ovena oats factory. Roast Maestro is a Saudi brand that is specialized in producing and manufacturing coffee products. It is a state-of-the-art coffee roasting facility, based in Yanbu at the Red Sea. It's one of the largest privately held coffee factories in the MENA region.","Ali Al - Jarem St , Al Hamra ,Jeddah ,21343 ,Saudi Arabia ",https://roastmaestro.com/
AST Enterprises Inc. - AE,Hall: Al Mustaqbal Plaza Stand: HP2-H2,"We are a semi multinational company that serves customers globally, fulfilling their raw material and trading requirements, thereby acting as a supply chain partner. AST Enterprises Inc, ships quality as per customer specifications, which brings about manufacturing efficiencies. We are among the top companies in the supply chain of agricultural commodities. Our annual trade volumes are between 300,000 - 350,000 Tons.","The Palladium Tower ,UNIT 909, The Palladium Tower, Cluster C ,Jumeirah Lakes Towers ,Dubai ,309049 ,United Arab Emirates ",https://www.astenterpriseinc.com/
Austrian Federal Economic Chamber,Hall: Shk Saeed Hall 2 Stand: S2-E52,"OUR WORLDWIDE NETWORK, YOUR ADVANTAGE ADVANTAGE AUSTRIA, with around 100 offices in over 70 countries, provides a broad range of intelligence and business development services for both Austrian companies and their international business partners. Around 800 employees around the world can assist you in locating Austrian suppliers and business partners. We organize about 1,200 events every year to bring business contacts together. Other services provided by ADVANTAGE AUSTRIA offices range from introductions to Austrian companies looking for importers, distributors or agents to providing in-depth information on Austria as a business location and assistance in entering the Austrian market.","Al Wahda City 1 Commercial Tower ,1st Floor - Office 3 ,Abu Dhabi ,United Arab Emirates ,United Arab Emirates ",http://www.advantageaustria.org/ae
Agricultural Coop.Union Aeghion SA,Hall: Shk Saeed Hall 1 Stand: S1-F24,"Main exporters of Greek Corinthian Currants (Black Raisins / Currants) exporting over 60 percent of the total crop in about 45 countries around the world. The production processes are certified under ISO 9001, ISO 22000, BRC, FSMA, RSPO, Kosher and Halal systems. Factories are also SMETA audited and FDA audited and approved. The Quality Control Labs are accredited according to ISO 17025 quality systems. Totally, the following products are produced - Black Corinthian Currants Vostizza PDO - Black Corinthian Currants - Sultanas - Mixed Fruit - Extra Virgin Olive Oil - Organic products","Agricultural Coopeartives Union - Aeghion S.A. ,201 Corinthou Street ,Aeghion ,25100 ,Greece ",http://www.pesunion.gr
Austin Nutri Food Industries LLC,Hall: Za'abeel Hall 1 Stand: Z4-A3,"Austin Nutrifood has also emerged as a popular name in the commodity market and our export volume is growing continuously and significantly. We have a stronghold in Indian markets as far certain snacks are concerned. We offer a wide range of Pasta that includes Penne, Macaroni, Fusilli, Spaghetti, Vermicelli and Roasted Vermicelli. Our other ultra-modern and fully equipped manufacturing facility in Western India boasts of the highest production of Pasta and Potato Pellets in the country with an annual manufacturing capacity of 14000 MT.It is not solely the taste, but also the elements of customization and highest quality standards that drive the snacks industry and Austin Nutrifood understands it completely and follows it enthusiastically. The contemporary processing facility, seamless and well-proven ISO 22000 certified processes, HACCP compliance, stringent monitoring at every juncture and dedicated R&D team make Austin a highly progressive, fast evolving and swiftly emerging snacks manufacturing player in the Middle East region.","BUILDING 4, 5 & 6, UMM AL THOUB 7 NEW INDUSTRIAL AREA ,AL ITTIHAD STREET 99280 ,NEW INDUSTRIAL AREA ,UMM AL QUWAIN ,UAE ,99280 ,United Arab Emirates ",https://www.teetoo.ae
Agriculture Bureau of Kaohsiung City Government,Hall: Shk Rashid Hall Stand: R-237,"Even though agriculture is the most traditional type of production, it can also be the most modern green ecological and service industry. It is not only a part of the economy, but can also possess diverse functions in natural conservation and humanities infrastructure. Today, agriculture is approaching a new context of global competition. In facing import of foreign agricultural products and challenge of lowered tariffs, the Bureau’s vision is to “promote sustainable agriculture, develop refined agricultural products, construct rural villages of Lohas, and enable happy farmers”, hoping to connect the advantages of agricultural technology and geographical strengths to create agricultural prosperity in the greater Kaohsiung region. The agricultural and livestock industries are approaching a new context of global competition. In facing import of foreign agricultural products and challenge of lowered tariffs, the Bureau’s vision is to “promote sustainable agriculture, develop refined agricultural products, construct rural villages of Lohas, and enable happy farmers”, hoping to connect the advantages of agricultural technology and geographical strengths to create agricultural prosperity in the greater Kaohsiung region.","6F, No. 132, Sec. 2, Guangfu Rd., ,Fengshan Dist., Kaohsiung City 830, Taiwan(ROC) ,Taiwan ",https://agri.kcg.gov.tw/
Agrim PTE LTD - ID,Hall: Za'abeel Hall 1 Stand: Z1-F49,"We Agrim Pte Ltd process and bulk package all Indonesian spices - Cassia, Cloves, Nutmeg, Mace, Long Pepper, Black Pepper, White pepper, Clove stem, Turmeric & Glangal slice - in our ISO, HACCP and GMP certified factory in Medan, Indonesia. For more details please visit our website www.agrimltd.com Also we are manufacturers of Coconut ingredients (coconut milk, cream, water, butter & desiccated coconut), in our fully integrated coconut plant in West Kalimantan, Indonesia. These are specifically used in HoReCa industry, food processing & beverage industry, sauces and seasoning, ice cream & yogurt industry, bakery, chocolate and confectionary and for drink blends & repacking. Our facility is FSSC22000, Halal, Kosher and US FDA certified. www.unicoconut.com Here’s Our product profile as below-- - Coconut Milk 17-18 pct. - Cream 22-24-28 pct.. - Packed in Aseptic packing of 20kg BIB or 220kg drums. - Coconut water , single strength, brix 4-5 pct. - Packed in Aseptic packing of 20kg BIB or 220kg drums. - Desiccated Coconut & Flakes - High Fat (65 pct.) - Reduced Fat (50 pct.) - Fine and Medium grade and Chips - Packed in 10kg, 25kg or 50kg net Kraft Paper bags with inner PE. - Creamed Coconut (Butter), Fat 65 pct. - Packed in 20kg BIB. - Virgin Coconut Oil - Packed in 20kg BIB. - Coconut Flour, 100 pct. natural - Packed in 10kg or 25kg kraft paper bags. - Coconut Sugar - Coconut Nectar - Coconut Milk Powder - 40 pct., 50 pct., 60 pct.","Jalan Suka Bumi Lama No 5A ,Jl. Binjai, Km-11-70 ,Medan ,20352 ,Indonesia ",https://www.agrimltd.com
Agriculture and Agri-food Canada - AE,Hall: Za'abeel Hall 4 Stand: Z4-H51,"Agriculture and Agri-Food Canada provides information and services to promote a secure food system, healthy environment and an innovative food production and processing sector. We facilitate business-to-business contacts and trade opportunities for Canadian exporters of high-quality food and beverage products.","1341 Baseline Road, Tower 5, Floor 3, Room 134 ,Ottawa ,Canada ,Ontario ,Canada ",https://agriculture.canada.ca/en
Agro-Oven LLC,Hall: Al Mustaqbal Plaza Stand: HP-A2,"Agro-Oven is a creator company. The company ""Agro-Oven"" is not just a leader in the production of high-quality products (beef, broiler meat, potatoes) in the Dnepropetrovsk region and Ukraine, but also a pioneer in the agricultural business: since February 1998, the four thousandth team of the company has been working on land, in animal husbandry, poultry farming, at its own processing enterprises. Production is provided by 4 agricultural farms of the corporation in Magdalenovsky, Solonyansky, Novomoskovsk, Dnipropetrovsk districts of the region. Broilers for meat are grown on 3 of the most powerful poultry complexes: ""Golubovsky"", ""Marianovsky"" (Novomoskovsky district) and on ""Youth"" (Solone), in the smallest of which a single planting of poultry is 1 million heads. The company has its own incubator in Marianivka, two meat processing plants, a potato processing and storage plant with a capacity of 20500 tons, 2 feed mills, providing feed for poultry farming and animal husbandry. Environmentally friendly products grown on excellent chernozem were appreciated by the domestic consumer, justifying the multimillion-dollar investments made by Agro-Ovn in the introduction of the latest intensive technologies. The level of development and the scale of the company's activities make it possible to transfer multimillion-dollar funds to budgets of various levels (local, including) every month, working exclusively within the framework of current legislation. The high level conquered by Agro-Oven is recognized in Ukraine: in the official rating, the corporation is among the top 20 among 5000 large Ukrainian agricultural enterprises. Everywhere Agro-Oven comes is the construction of new facilities, the reconstruction of abandoned ones, the latest technologies are being introduced, 100s of people are provided with work and stable earnings. That is why the company ""Agro-Oven"" in the region is recognized and has authority as a creator company with a high level of production and social responsibility of business.","Molodogvardiyska ,Ukraine ",https://agrooven.com.ua
Agropur CoopÃ©rative LaitiÃ¨re,Hall: Hall 2 Stand: G2-20,"Founded in 1938, Agropur is a top 20 global dairy company and a major producer of innovative, high-quality dairy ingredients. Agropur provides future-forward ingredient solutions in areas including cost performance, texture improvement, shelf-life stability and nutrition enhancement. As one of North America’s largest whey protein manufacturers, we provide innovative solutions to some of the world’s most prominent brands in food, beverage and nutrition. Agropur aims to become the key dairy partner to the global food industry, and exports to more than 50 countries across Europe, Asia, Oceania, the Middle East and the Americas. Our US Operations include seven ingredients-focused, SQF Certified plants with international support in Canada, Mexico, Switzerland, China and Singapore. Agropur believes in responsible manufacturing and is working to advance sustainability with commitments that include Net Zero emissions reduction by 2050. Our employees work together every day in pursuit of our vision, “Better Dairy. Better World.”","4600, rue Armand-Frappier ,Saint-Hubert ,Quebec ,J3Z 1G5 ,Canada ",https://www.agropur.com/us/
Agroline,Hall: Za'abeel Plaza Stand: ZP-C42,"Agroline is a Senegalese agri-food industry created in 2004, specialized in tomato processing that strives to combine tradition and innovation. This link is made possible by our desire to draw inspiration from the traditional flavors of Senegal to support the culinary habits evolution by constantly offering new ranges and formats to consumers. The innovation is at the heart of our mission. Agroline was the first, in west Africa zone to offer double tomato paste in plastic jar. An important and sustainable innovation since the jar with lids are reusable. Following on from innovation, Agroline creates the fisrt tomato paste stick of 30g. Its innovative packaging highlighted the company as a pioneer of the emerging modern food world. Agroline continues its expansion and creates the first ketchup and barbecue sauce factory in West Africa.","KM 11, ROUTE DE RUFIQUE ,BP 318 ,Dakar ,Sénégal ,Senegal ",https://agroline.sn/
Agrophoenix S.A.,Hall: Shk Saeed Hall 1 Stand: S1-G4,"Rising out of the Macedonian heartland of northern Greece in 2018, Agrophoenix is a new company with deep roots in the industry and the vision to change agriculture and processing to a more sustainable and efficient model.  Agrophoenix with 2 production plants, a modern and efficient fruit juice concentrate plant and a new fruit processing plant, which was established in 2019 ensuring a fully integrated production and business model in our retail product portfolio. Fruit & Veggie Puree in Stand Up Pouches - SMOOTHIES Fruits in Plastic Cups The group’s newest fruit processing plant utilizes advanced infrastructure and manufacturing along with cutting edge technology to guarantee quality, efficiency and environmental protection thereby providing Agrophoenix with greater flexibility to concurrently process multiple fruit varieties while achieving maximum by-product recovery. From the orchards, to product development, to producing and delivering a continuous supply of premium and tailor-made products, our team is here to fulfill your requirements.","Ano Zervochori Imathias ,Irinoupoli ,59034 ,Greece ",https://www.agrophoenix.gr/
Agthia Group PJSC - AE,"Hall: Hall 8 Stand: A8-10, B8-10","Agthia Group is a leading Abu Dhabi based food and beverage company. Established in 2004, the Company is listed on the Abu Dhabi Securities Exchange (ADX) and has the symbol “AGTHIA”. Agthia Group PJSC is part of ADQ, one of the region’s largest holding companies with a broad portfolio of major enterprises spanning key sectors of Abu Dhabi’s diversified economy. The Company’s assets are located in the UAE, Saudi Arabia, Kuwait, Oman, Egypt, Turkey and Jordan. Agthia offers a world class portfolio of integrated businesses providing high quality and trusted food and beverage products for consumers across the UAE, GCC, Turkey and the wider Middle East. More than 11,000 employees are engaged in the manufacturing, distribution and marketing various products in categories such as: Consumer Business (Al Ain Water, Al Bayan, Alpin Natural Spring Water, Ice Crystal, VOSS, Al Ain Tomato Paste, Al Ain Trading Items), Snacking (Al Foah, Yoplait, Al Faysal Bakery & Sweets, BMB, Abu Auf), Proteins and Frozen (Nabil Foods, Atyab, Al Ain Frozen Vegetables) and Agri Business (Grand Mills, Agrivita).","P.O. Box 37725 ,United Arab Emirates ",https://www.agthia.com
Al Dahra Agriculture LLC,Hall: Hall 8 Stand: B8-20,"Al Dahra is a prominent multinational leader in agribusiness, specializing in the cultivation, production and trading of animal feed and essential food commodities and end-to-end supply chain management. Serving a large customer base spanning the Government and Commercial sectors, Al Dahra has a widespread geographic footprint, with a workforce of 5,000 employees, operating in over 20 countries and catering to more than 45 markets, with a leading position in Asia and the Middle East. The group manages and operates a land bank in excess of 400 thousand acres of land with 1,200 pivots and a fleet comprising more than 2,000 farming assets. In addition, the company owns and manages 15 state-of-the-art forage processing and baling facilities and has the capacity to produce and supply 3 million metric tons of alfalfa and grasses annually, catering to the needs of the dairy and cattle industries. It is also a leading player in the production, packaging, marketing and distribution of grains, operating 3 rice mills and 2 flour mills with the capacity to produce 500,000 MT of flour and 500,000 MT of rice, annually. It further owns and operates a grains hub strategically located at the Fujairah port in UAE with 20 silos and more than 300,000 MT storage capacity. Al Dahra has also made considerable investments within the logistics and supply chain sector. It moves about 2 million metric tons, annually and ships 175 thousand TEUs.","P.O. Box 130455 ,Al Ain Tower, ,Abu Dhabi ,United Arab Emirates ",http://www.aldahra.com
Al Ghurair Foods - AE,Hall: Hall 8 Stand: C8-10,"Al Ghurair Foods was established in 1976 through the creation of National Flour Mills. Positioning itself to be a pioneer in its field, Dubai’s first flour mill brought fresh bread to the tables of UAE residents. It was able to advance rapidly due to providing excellent quality products and first-class customer service. Today with annual milling capacity of over 1.5m MT and operational silos of over 230,000 MT, Al Ghurair is a regional leader in foods business. Its associated Group entities, also own and operate a variety of food production facilities including a region’s largest oats mill, UAE’s one of the largest poultry farm, animal feed plant and rice mill across diverse geographies. Al Ghurair foods is now a world-leading manufacturer and supplier of high-quality food – growing, refining, processing, packing, and shipping more than 5,000,000 tons of food each year.","P.O. Box 780 ,Dubai ,United Arab Emirates ",https://www.al-ghurair.com
AGT Foods,Hall: Za'abeel Hall 4 Stand: Z4-G40,"AGT Food and Ingredients Inc. (AGT Foods), majority owned by Fairfax Financial Holdings Limited, is a Saskatchewan-based global leader in plant-based proteins and value-added processing of pulses, grains, staple foods and ingredients for export and domestic markets. AGT Foods was founded on the principle “From Producer to the World”, buying pulses, grains, oilseeds and specialty crops from farmers around its facilities and offices in Canada, Turkey, the U.S., Australia, South Africa, India, China and Europe and processing and exporting its pulses, milled durum wheat and canola products, pulse ingredient flours, starches, fibres, proteins and extruded products and retail packaged foods to customers in over 120 countries around the world. AGT Foods operates a strong network of grain origination, processing facilities and a short line rail system in the heart of Saskatchewan’s canola, pulses and wheat growing areas. More information about AGT Foods is available at www.agtfoods.com.","6200 E. Primrose Green Dr. ,Regina ,Saskatchewan ,S4V 3L7 ,Canada ",http://www.agtfoods.com
Al Maya Trading Co,Hall: Hall 6 Stand: B6-20,"BRINGING TOGETHER THE FINEST BRANDS IN THE WORLD Over the years, the Al Maya Group has successfully introduced more than 50 of the world’s finest food brands to the region. With over a million square feet of warehousing space and one of the largest logistics and distribution companies in UAE, Al Maya Trading ensures seamless supply of these brands to key retailers and leading supermarket chains. With the mission of delivering excellence, we constantly upgrade our infrastructure by introducing the latest technologies in supply chain management including state-of-the-art Warehouse Management Systems (WMS). As true brand ambassadors, the Group maintains the essence of each of these brands by providing an amazing B2B experience for all clients, earning them recognition as a trusted distribution service partner on an international level.","P.O. Box 8476 ,National Industrial Park, Jebel Ali ,Industrial 3 ,United Arab Emirates ",http://www.almaya.ae
Al Qantareh Al Raeed,Hall: Za'abeel Hall 6 Stand: Z6-H53,"In 2019, Atrin Brand was founded by two degreed individuals with substantial working experience in order to promote the use of saffron and virous other ethnic culinary products outside in the GCC area virous other countries. We have since obtained the organic certification for our products. We have several packaging and production facilities in various countries in order to have better access to international markets. The extend of our production facilities are such that we provide our PRIVATE label packaging on a highly competitive bases. We are also certified with the following ISO and HACCP certifications: ISO 9001 : 2015 ISO ISO 22000 :2018","Block 240, Sekeh 4003 ,Building 1/1/19, Ghobreh ,Muscat ,Oman ",http://www.atrinsafran.com
Al Rimal Foodstuff Industries - AE,Hall: Hall 2 Stand: 230,"Al Rimal Foodstuff Industries was established at 1990 as fast growing manufacturer of snack in 16 fast consuming Brands across region. The venture of the company continues and produce processed Cheese with different selection like Triangle cheese, Cheddar block cheese and Spreadable jar cheese. Al Rimal also produce Mayonnaise, Ketchup, Steak Sauce and Chips Pellet. We have the pleasure to serve our customers in over 20 countries, applying the international manufacturing standards guaranteeing the best quality and health standard. Over 600 dedicated employees are working to behold the vision and goal of the group to maintain customer’s satisfaction. Al Rimal owns a full fleet for shipping their products that commits to health and safety standard around region.","P.O. Box 7889 ,L2-03 Saif Zone ,United Arab Emirates ",http://www.alrimalgroup.com
Al Qotuf Al Mobaraka Date Factory LLC,Hall: Hall 8 Stand: E8-34,"Qutoof Dates is a registered trademark to Al Qotuf Al Mobaraka Date Factory, which has been built recently with a state of art infrastructures and new technologies into dates manufacturing and packing. Our core business is to develop innovative dates products, offering a healthy option to our consumers in UAE. Qutoof Dated offers a wide range of fresh and dry date varieties, in addition to presses dates, dates paste, date syrup, and chopped dates. We receive harvested dates from ultimate farm sources. We believe in continuous R&D and product development following world-class standardization. Our factory is located in a 4000 sq.m site in Emirates Industrial Area in UAE.","Al Qotuf Al Mobaraka Date Factory LLC ,Plot 11, Block 10, Emirates Modern Industrial Area ,Umm Al Thoub ,Umm Al Quwain ,United Arab Emirates ",https://www.qutoof.ae
Al salam Mills Co.,Hall: Shk Rashid Hall Stand: R-E17,"Alsalam Mills Co. one of the most prominent business group in Jordan . Our company specialized in food industry for more than 60 years , Producing quality products like : Herbal Tea, Mix Cake, Coffee, Spices, Instant Herbal Tea, pulses, instant Coffee Jelly, topping cream, pudding and many kind of selected quality food, vinegar .rose water . flower water . We try as our aim to be leader in local markets and preferred supplier In international Market for our products . Our Company export to: Saudi Arabia .United Arab Emirates, Kuwait, Qatar, Palestine, Oman, Bahrain, Iraq, Syria, Egypt, Lebanon, the United States, Denmark, Sweden, Canada, Australia, New Zealand, Germany, Holland, Belgium, Germany, Norway and the Philippines .","3 ,king abdullah first st. ,main st . ,Amman ,jordan ,4050 ,Jordan ",https://alsalammills-jo.com/
Alimad Food,Hall: Shk Saeed Hall 2 Stand: S2-C16,"ALIMAD FOOD is a Belgian company. Its main sector of activity concerns flavored waters intended for the distribution market, shopping centers and wholesalers. Its Research and Development department develops its own formulas, strives to maintain optimum quality and is constantly on the lookout for new products that are up to date.In addition to flavored waters, glucose syrup and the lemon speciality, the company is expanding its range by investing in a new production line to launch the manufacture of flavorings and colorings. Today, ALIMAD FOOD products under its own brands (SAMRA / AL ZAHRA / ASSAL / NAHLA / ZEST) have won the trust of consumers.ALIMAD FOOD products are distributed throughout Europe, Dubai, Canada, Iraq. Photos and information are available on our website: www.alimad.be Certificates: HACCP FSSC22000 (OUTSTANDING)","ALIMAD FOOD S.A ,AVENUE DES ARTISANS, 40 ,GHISLENGHIEN ,7822 ,Belgium ",http://ww.alimad.be
Alis S.r.l. Casa Rinaldi,Hall: Za'abeel Hall 1 Stand: S1-F44,"Since 1979 Alis - Casa Rinaldi is specialized in the production, selection and distribution of Italian excellences in the condiments sector and a range of food products including pasta, rice, vegetable preserves and sauces. Over the years, the Modena-based company has built a complete offer, creating a portfolio of over 1000 products and affirming its presence in over 110 countries around the world. Alis currently owns 3 production plants in Italy and 4 overseas offices in Russia, Ukraine, Moldova and Hungary. Alis Srl is the Food Division of the Rinaldi Group, a Modena holding company with a turnover of over 600 million euros and interests in over 60 Italian and foreign businesses. Casa Rinaldi is the main brand of Alis, the name with which the company is best known all over the world. A brand appreciated both by the general public and by the most varied players in the Food industry. Casa Rinaldi’s offer ranges from a wide production of condiments to a diverse selection of Italian specialties that are carefully researched. Thus, Casa Rinaldi’s product catalogue counts over 1000 products. Casa Rinaldi Organic is the line entirely dedicated to organic products. From condiments to vegetables, from snacks to pasta to desserts, Casa Rinaldi Organic offers a wide range of 100x100 organic, genuine and healthy products. Casa Rinaldi Organic is the witness, together with the company’s new eco-sustainable headquarters, of Alis’ commitment to protecting the well-being of people and the environment.","ALIS SRL ,Via Paletti, 1 ,Castelnuovo Rangone ,Modena ,41051 ,Italy ",https://casarinaldi.it/
All Needs Gen Trading LLC - AE,Hall: The Pavilion Stand: T-B15,"ANGT - Manufacturing Convenient Cooking Solutions for the Foodservice industry since 1999. We help our clients reduce cost, maintain quality and consistency. Awarded ""World's Greatest Brands in Asia & Gcc"" in 2015, we manufacture food products that are Natural, without any preservatives or artificial flavors. Our solutions are categorized in the following categories - Onion Paste - Pioneers in the category and selling since its 1999. We offer various solutions in it - Sautéed Onion, Fried Onion, Fried Onion Paste Vegetable Paste - Ginger & Garlic, Red & Green Chili, Spinach, Cashew, Chickpeas Paste Boiled Pulses - Offering the highest variety with maximum drained weight of upto 85 percent. Products in the category include - White Chickpeas, Black Chickpeas, Urad Dal, Chana Dal, Tuar Dal, Black Beans. Indian Base Gravies – Authentic Indian Base Gravies. Makhani Gravy, Chopped Masala, Biryani Gravy, Yellow Gravy, White Gravy, Brown Gravy Jain Base Gravies – Red Gravy, Brown Gravy and White Gravy Tandoori Marinade Deserts - Carrot Halwa, Pineapple Halwa and Kesari Halwa All our products are to be stored at room temperature and have a shelf life of 24 Months at temperature. Supplying the foodservice Industry across many countries we guarantee authentic flavors, consistency and quality.","P.O. Box 42941 ,Metropolis Tower, 1507, 15th Floor, Business Bay ,United Arab Emirates ",https://www.angtnonions.com
Allana Sons Private Limited,Hall: Za'abeel Hall 3 Stand: Z2-D69,"Allanasons Private Limited started its coffee division in the year 1982. With coffee processing units located in the major coffee growing regions of India, our USP lies in procuring and exporting the best of coffees from India - be it conventional, certified or specialty coffees (including Indian Monsooned Coffees). Allanasons has made its name in the Indian coffee industry as one of the major coffee export houses and has been recognized by the Coffee Board of India on multiple occasions for our contribution in offering Indian coffees globally since 40 years.","Chanco Residency No 1/2 ,SRT Lane ,Cunningham Road Cross ,Bangalore ,India ,560052 ,India ",https://www.allana.com
Alokozay FZE - AE,Hall: Hall 7 Stand: D7-20,"We build brands that people love - and that add value to the everyday lives of millions around the world. We’re the Alokozay Group of Companies. With a glorious history that spans over a century, we’re one of the largest FMCG multinational companies in the Middle East. Headquartered in Dubai, we have a wide manufacturing and distribution network spread across the Middle East, Asia, Africa, North America and Europe.","P.O. Box 18165 ,Jebel Ali Free Zone ,United Arab Emirates ",https://alokozay.com
ALQASSIM FACTORY FOR FOODS,Hall: Hall 6 Stand: 616,"Al-Tarif International Investment Company was established in 1993 as a limited liability company, with a capital of about 5.3 million Saudi riyals in the Kingdom of Saudi Arabia under commercial registration number 1128003072 issued by Unaizah. The legal entity of the company was converted into a closed joint stock company in 2013. The current paid-up capital of the company is 10 million Saudi riyals. The company’s headquarters is in the first industrial city in the Qassim region (Al-Qassim Food Factory).","ALQASSIM ,ENDASTURY CITY ,STREET NO 13 ,Saudi Arabia ",https://WWW.ALTURAIFHOLDINGCO.COM
Altiparmak Gida San. Ve Tic. A.S.,Hall: Shk Maktoum Hall Stand: M-A49,"Balparmak has been delivering healthy , natural and deliciius honey to consumers since it was founded in 1980 . The Company pioneered the development of Turkey's honey industry and now operates a 30,000 square meterfacility with an annual packing capacity of 32,000 tons .Balparmak differentitates itself trough the standardof quality it brings to consumers , and has been the industry leader for long time .","Cavusbasi Cad. No:70, Cekmekoy - Istanbul ,Turkey ",http://www.balparmak.com.tr
Altas Oil Industry,Hall: Za'abeel Hall 1 Stand: Z1-C39,"Altas Group started its operations during 1957 by entering the food sector. It was not long before the group gained people’s appreciation with the help of its principles of quality and trustworthiness. Today, Altas Group has been operated with more than 500 employees in 5 sectors including Food, Construction, Automotive, Education and Media. After proving its success in trade, the group has moved into the vegetable oil sector in 2009 by purchasing the facilities of Turkey’s first hazelnut oil brand, which the group has been acting as the distributor for 7 years since 2002. Altas Oil Industry operates with an expert team of employees within its fully integrated facility that is capable of handling pressing, extraction, refinery and bottling of various kinds of oils. These facilities have been awarded ISO 9001-2008 Quality Management System, ISO 22000-2005 Food Safety Management System, ISO 14000-2004 Environment Management System, OHSAS 18001-2007 Health and Safety at Work Management System and Halal certificates and TSE Certificates of Conformity for all of its products. As Cotanak brand we are a big family who efforts to provide you delicious and healthy products.We don’t only produce food we also design products and develop technologies. For this reason, Çotanak has been an innovative brand which introduced many novelties such as creating the first Honeyed Hazelnut Paste of world and being the first brand in the Turkey to introduce Safflower Oil to the market. Besides our innovative product line, we have also established ourselves as a world renowned brand with our deep experience in food making and very high standards. We are happy to bring you quality while protecting your health with our ever-expanding product line.","Durugol Mah. Soya Cad. No:150, 52200, Altinordu - Ordu ,Ordu ,52200 ,Turkey ",https://www.cotanak.com.tr/
Altesse Quality Food SA,Hall: Shk Saeed Hall 2 Stand: S2-C24,"Altesse Quality Food is a Belgian manufacturer of emulsified sauces and mayonnaises and a family-owned company created in 1954. The company produces mayonnaises, emulsified sauces, vinaigrettes only with selected finest raw ingredients. We work exclusively with natural ingredients and without preservatives. Our products are sold under our brands or under private labels in various packagings ( from 250ml to larger packagings). Our range meets the highest quality requirements. We propose a new range of mayonnaises : mayo sushi, mayo teriyaki, mayo wasabi, mayo sriracha, mayo harissa.","Rue de Gelée, 4 ,VERVIERS  ,4800 ,Belgium ",https://www.fayza.be/ www.lamaisonbelge.be
Alyan Food Production Inc.,Hall: The Pavilion Stand: T-D2,Alyan Food is a brand that has emerged as a result of combining innovative ideas with nearly half a century of experience in the sector in order to offer healthy and wide-ranging products produced with first class ingredients to consumers all over the world. It develops products responding to even most demanding consumers’ needs by accurately analyzing their expectations.,"Maslak Mah. Maslak Meydan Sk. Beybigiz Plaza No. 1/45 Sanyer ,Turkey ",https://www.alyan.com.tr
ALWABLL GIDA Ä°NÅžAAT Ä°THALAT VE Ä°HRACAT LÄ°MÄ°TED ÅžÄ°RKETÄ°,Hall: Al Mustaqbal Plaza Stand: HP2-E10,"Alwabil group is one of the biggest companies founded in 2000 specialized in the field of foodstuffs. Alwabil group manufactures and supplies a very large group of products of the highest quality and the most beautiful designs. Our vision is that our trademark to be evidence that the product is of high quality and for the buyer to be confident in the quality of our products. Our motto, Alwabil, Choice of Nature.",". ,Fatih, Iskenderpasa, Aile sk 28 ,Istanbul ,Turkey ",https://www.alwabilalsaib.com
Baqer Mohebi Enterprises,Hall: Hall 5 Stand: B5-40,"In 1931, Baqer Mohebi Enterprises (BME), a core part of Zainal Mohebi Holdings was established with the sole goal of becoming the largest distribution and marketing organization across the region. With 7000 SKUs from over 40 multi-national premium brands, we currently serve over 6000 customers. More than 1000 multinational team players are employed by the company that covers every sector of the market. BME is one of the foremost specialists in the UAE for the distribution and marketing of FMCG, HORECA and Tobacco products. A notable track record gives BME a unique list of long-standing clients, who depend on its facilities, scope and business approach. BME covers the UAE, Oman and Qatar, across many market sectors.","Zainal Mohebi Plaza ,Bur Dubai ,TRN 100018552800003 ,Dubai ,P.O. Box 267 ,United Arab Emirates ",https://www.baqermohebi.com
